css property,theme property
animation,animations
borderBlockEndStyle,borderStyles
borderBlockStartStyle,borderStyles
borderBlockStyle,borderStyles
borderBottomStyle,borderStyles
borderInlineEndStyle,borderStyles
borderInlineStartStyle,borderStyles
borderInlineStyle,borderStyles
borderLeftStyle,borderStyles
borderRightStyle,borderStyles
borderStyle,borderStyles
borderTopStyle,borderStyles
borderBlockEndWidth,borderWidths
borderBlockStartWidth,borderWidths
borderBlockWidth,borderWidths
borderBottomWidth,borderWidths
borderInlineEndWidth,borderWidths
borderInlineStartWidth,borderWidths
borderInlineWidth,borderWidths
borderLeftWidth,borderWidths
borderRightWidth,borderWidths
borderTopWidth,borderWidths
borderWidth,borderWidths
border,borders
borderBlock,borders
borderBlockEnd,borders
borderBlockStart,borders
borderBottom,borders
borderInline,borders
borderInlineEnd,borders
borderInlineStart,borders
borderLeft,borders
borderRight,borders
borderTop,borders
backgroundColor,colors
borderBottomColor,colors
borderColor,colors
borderLeftColor,colors
borderRightColor,colors
borderTopColor,colors
caretColor,colors
color,colors
columnRuleColor,colors
fill,colors
outlineColor,colors
stroke,colors
fontFamily,fontFamilies
fontSize,fontSizes
fontWeight,fontWeights
animationName,keyframes
letterSpacing,letterSpacings
lineHeight,lineHeights
opacity,opacities
borderBottomLeftRadius,radii
borderBottomRightRadius,radii
borderRadius,radii
borderTopLeftRadius,radii
borderTopRightRadius,radii
boxShadow,shadows
textShadow,shadows
blockSize,sizes
flexBasis,sizes
height,sizes
inlineSize,sizes
maxBlockSize,sizes
maxHeight,sizes
maxInlineSize,sizes
maxWidth,sizes
minBlockSize,sizes
minHeight,sizes
minInlineSize,sizes
minWidth,sizes
width,sizes
bottom,spacings
columnGap,spacings
gap,spacings
gridColumnGap,spacings
gridGap,spacings
gridRowGap,spacings
inset,spacings
insetBlock,spacings
insetBlockEnd,spacings
insetBlockStart,spacings
insetInline,spacings
insetInlineEnd,spacings
insetInlineStart,spacings
left,spacings
margin,spacings
marginBlock,spacings
marginBlockEnd,spacings
marginBlockStart,spacings
marginBottom,spacings
marginInline,spacings
marginInlineEnd,spacings
marginInlineStart,spacings
marginLeft,spacings
marginRight,spacings
marginTop,spacings
padding,spacings
paddingBlock,spacings
paddingBlockEnd,spacings
paddingBlockStart,spacings
paddingBottom,spacings
paddingInline,spacings
paddingInlineEnd,spacings
paddingInlineStart,spacings
paddingLeft,spacings
paddingRight,spacings
paddingTop,spacings
right,spacings
rowGap,spacings
scrollPadding,spacings
scrollPaddingBottom,spacings
scrollPaddingLeft,spacings
scrollPaddingRight,spacings
scrollPaddingTop,spacings
top,spacings
transform,transforms
transition,transitions
zIndex,zIndices
accelerator,
accentColor,
WapAccesskey,
alignContent,
WebkitAlignContent,
alignItems,
WebkitAlignItems,
alignSelf,
WebkitAlignSelf,
alignmentBaseline,
all,
alt,
WebkitAlt,
animationDelay,
MozAnimationDelay,
msAnimationDelay,
WebkitAnimationDelay,
animationDirection,
MozAnimationDirection,
msAnimationDirection,
WebkitAnimationDirection,
animationDuration,
MozAnimationDuration,
msAnimationDuration,
WebkitAnimationDuration,
animationFillMode,
MozAnimationFillMode,
msAnimationFillMode,
WebkitAnimationFillMode,
animationIterationCount,
MozAnimationIterationCount,
msAnimationIterationCount,
WebkitAnimationIterationCount,
MozAnimation,
msAnimation,
MozAnimationName,
msAnimationName,
WebkitAnimationName,
animationPlayState,
MozAnimationPlayState,
msAnimationPlayState,
WebkitAnimationPlayState,
animationTimingFunction,
MozAnimationTimingFunction,
msAnimationTimingFunction,
WebkitAnimationTimingFunction,
WebkitAnimationTrigger,
WebkitAnimation,
WebkitAppRegion,
appearance,
MozAppearance,
WebkitAppearance,
ascentOverride,
aspectRatio,
WebkitAspectRatio,
audioLevel,
azimuth,
backdropFilter,
WebkitBackdropFilter,
backfaceVisibility,
MozBackfaceVisibility,
msBackfaceVisibility,
WebkitBackfaceVisibility,
background,
backgroundAttachment,
WebkitBackgroundAttachment,
backgroundBlendMode,
backgroundClip,
MozBackgroundClip,
WebkitBackgroundClip,
WebkitBackgroundColor,
WebkitBackgroundComposite,
backgroundImage,
WebkitBackgroundImage,
MozBackgroundInlinePolicy,
backgroundOrigin,
MozBackgroundOrigin,
WebkitBackgroundOrigin,
backgroundPosition,
WebkitBackgroundPosition,
backgroundPositionX,
WebkitBackgroundPositionX,
backgroundPositionY,
WebkitBackgroundPositionY,
backgroundRepeat,
WebkitBackgroundRepeat,
backgroundRepeatX,
backgroundRepeatY,
backgroundSize,
MozBackgroundSize,
WebkitBackgroundSize,
WebkitBackground,
baselineShift,
baselineSource,
behavior,
MozBinding,
blockEllipsis,
msBlockProgression,
blockStep,
blockStepAlign,
blockStepInsert,
blockStepRound,
